id;name;link;bgg_rank;suggested_player;min_player;max_player;max_playtime;ratio_play;age;mecha_list;family_list;domain_list;cat_list;designer_list;awards;Image_link;weight;geek_rating;year
224517;Brass: Birmingham;https://boardgamegeek.com/boardgame/224517/brass-birmingham;1;[2, 3, 4];2;4;120;30.0;14.0;['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tags', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Set-up'];['Cities: Birmingham (England)', 'Components: Map (Regional scale)', 'Components: Multi-Use Cards', 'Country: England', 'Crowdfunding: Kickstarter', 'Crowdfunding: Spieleschmiede', 'Digital Implementations: Steam', 'Digital Implementations: Tabletopia', 'Digital Implementations: VASSAL', 'Food & Drink: Beer', 'Game: Brass', 'History: Industrial Revolution', 'Misc: LongPack Games', 'Misc: Watch It Played How To Videos', 'Occupation: Engineer', 'Organizations: The Game Artisans of Canada', 'Theme: Canals'];['Strategy Games'];['Age of Reason', 'Economic', 'Industry / Manufacturing', 'Post-Napoleonic', 'Trains', 'Transportation'];['Gavan Brown', 'Matt Tolman', 'Martin Wallace'];20;https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__original/img/FpyxH41Y6_ROoePAilPNEhXnzO8=/0x0/filters:format(jpeg)/pic3490053.jpg;3.9;8.4;2018
161936;Pandemic Legacy: Season 1;https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1;2;[2, 3, 4];2;4;60;15.0;13.0;['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Tags', 'Trading', 'Variable Player Powers'];['Components: Map (Global Scale)', 'Components: Multi-Use Cards', 'Game: Pandemic', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Medical: Diseases', 'Misc: Limited Replayability', 'Misc: Made by Panda', 'Occupation: Dispatcher', 'Occupation: Medic / Doctor / Nurses', 'Occupation: Researcher / Scientist', 'Region: The World', 'Theme: Science', 'Versions & Editions: Legacy Versions of Non-Legacy Games'];['Strategy Games', 'Thematic Games'];['Environmental', 'Medical'];['Rob Daviau', 'Matt Leacock'];30;https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__original/img/PlzAH7swN1nsFxOXbfUvE3TkE5w=/0x0/filters:format(png)/pic2452831.png;2.8;8.4;2015
174430;Gloomhaven;https://boardgamegeek.com/boardgame/174430/gloomhaven;3;[2, 3, 4];1;4;120;30.0;14.0;['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Modular Board', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tags', 'Variable Player Powers'];['Category: Dungeon Crawler', 'Components: Map (City Scale)', 'Components: Miniatures', 'Components: Multi-Use Cards', 'Components: Standees', 'Creatures: Demons', 'Creatures: Dragons', 'Creatures: Monsters', 'Crowdfunding: Kickstarter', 'Digital Implementations: Steam', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Game: Gloomhaven', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Misc: Forteller Audio Narration', 'Misc: Made by Panda', 'Players: Games with Solitaire Rules'];['Strategy Games', 'Thematic Games'];['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures'];['Isaac Childres'];30;https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__original/img/7d-lj5Gd1e8PFnD97LYFah2c45M=/0x0/filters:format(jpeg)/pic2437871.jpg;3.9;8.4;2017
342942;Ark Nova;https://boardgamegeek.com/boardgame/342942/ark-nova;4;[2, 3, 4];1;4;150;37.5;14.0;['Action Queue', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Tile Placement', 'Variable Player Powers', 'Variable Set-up'];['Components: Hexagonal Tiles', 'Digital Implementations: Board Game Arena', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Game: Ark Nova', 'Players: Games with Solitaire Rules', 'Theme: Ecology', 'Theme: Science', 'Theme: Zoos, Aquaria, Safari Parks'];['Strategy Games'];['Animals', 'Economic', 'Environmental'];['Mathias Wigge'];35;https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__original/img/g4S18szTdrXCdIwVKzMKrZrYAcM=/0x0/filters:format(jpeg)/pic6293412.jpg;3.8;8.3;2021
233078;Twilight Imperium: Fourth Edition;https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition;5;[3, 4];3;6;480;80.0;14.0;['Action Drafting', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Hexagon Grid', 'Increase Value of Unchosen Resources', 'King of the Hill', 'Modular Board', 'Race', 'Tech Trees / Tech Tracks', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Variable Set-up', 'Voting'];['Components: Hexagonal Tiles', 'Components: Map (Interplanetary or Interstellar scale)', 'Components: Miniatures', 'Game: Twilight Imperium', 'Mechanism: 4X', 'Misc: Made by Panda'];['Strategy Games', 'Thematic Games'];['Civilization', 'Economic', 'Exploration', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame'];['Dane Beltrami', 'Corey Konieczka', 'Christian T. Petersen'];2;https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__original/img/kVpZ0Maa_LeQGWxOqsYKP3N4KUY=/0x0/filters:format(jpeg)/pic3727516.jpg;4.3;8.2;2017
316554;Dune: Imperium;https://boardgamegeek.com/boardgame/316554/dune-imperium;6;[2, 3, 4];1;4;120;30.0;14.0;['Card Play Conflict Resolution', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Force Commitment', 'Increase Value of Unchosen Resources', 'Multi-Use Cards', 'Open Drafting', 'Race', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Turn Order: Progressive', 'Variable Player Powers', 'Worker Placement'];['Books: Dune', 'Digital Implementations: Google Play', 'Digital Implementations: Steam', 'Game: Dune: Imperium', 'Misc: LongPack Games', 'Misc: Watch It Played How To Videos', 'Players: Games with Solitaire Rules'];['Strategy Games'];['Movies / TV / Radio theme', 'Novel-based', 'Political', 'Science Fiction'];['Paul Dennen'];26;https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__original/img/mZzaBAEEJpMlHWWmC0R6Su0OibQ=/0x0/filters:format(jpeg)/pic5666597.jpg;3.0;8.2;2020
167791;Terraforming Mars;https://boardgamegeek.com/boardgame/167791/terraforming-mars;7;[2, 3, 4];1;5;120;24.0;12.0;['Closed Drafting', 'Contracts', 'Enclosure', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Tech Trees / Tech Tracks', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource'];"['Category: Dized Tutorial', 'Components: Map (Global Scale)', 'Components: Multi-Use Cards', 'Digital Implementations: Board Game Arena', 'Digital Implementations: Google Play', 'Digital Implementations: Steam', 'Game: Terraforming Mars', 'Mechanism: Tableau Building', 'Occupation: Engineer', 'Players: Games with Solitaire Rules', 'Setting: Future Timeline (Fryxgames)', ""Space: Earth's Solar System"", 'Space: Jupiter', 'Space: Mars', 'Theme: Science']";['Strategy Games'];['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building'];['Jacob Fryxelius'];40;https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__original/img/thIqWDnH9utKuoKVEUqveDixprI=/0x0/filters:format(jpeg)/pic3536616.jpg;3.3;8.2;2016
115746;War of the Ring: Second Edition;https://boardgamegeek.com/boardgame/115746/war-of-the-ring-second-edition;8;[2, 3, 4];2;4;180;45.0;13.0;['Action Drafting', 'Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Dice Rolling', 'Events', 'Hand Management', 'Movement Points', 'Team-Based Game', 'Variable Set-up'];['Authors: J.R.R. Tolkien', 'Category: Dized Tutorial', 'Components: Map (Continental / National scale)', 'Components: Miniatures', 'Creatures: Monsters', 'Series: War of the Ring (Nexus/Ares Games)'];['Thematic Games', 'Wargames'];['Fantasy', 'Fighting', 'Miniatures', 'Novel-based', 'Territory Building', 'Wargame'];['Roberto Di Meglio', 'Marco Maggi', 'Francesco Nepitello'];0;https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__original/img/38jB7fN07DwlrGKYAf-J0vsNdgs=/0x0/filters:format(jpeg)/pic1215633.jpg;4.2;8.2;2011
187645;Star Wars: Rebellion;https://boardgamegeek.com/boardgame/187645/star-wars-rebellion;9;[2, 3, 4];2;4;240;60.0;14.0;['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Card Play Conflict Resolution', 'Contracts', 'Delayed Purchase', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Hand Management', 'Hidden Movement', 'Income', 'Once-Per-Game Abilities', 'Tags', 'Take That', 'Team-Based Game', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement, Different Worker Types'];['Category: Two Player Fighting Games', 'Components: Map (Interplanetary or Interstellar scale)', 'Components: Miniatures', 'Components: Standees', 'Creatures: Aliens / Extraterrestrials', 'Movies: Star Wars', 'Players: Two-Player Only Games', 'Players: Wargames with Rules Supporting Only Two Players'];['Thematic Games'];['Civil War', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration', 'Wargame'];['Corey Konieczka'];17;https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__original/img/GKueTbkCk2Ramf6ai8mDj-BP6cI=/0x0/filters:format(jpeg)/pic4325841.jpg;3.7;8.2;2016
291457;Gloomhaven: Jaws of the Lion;https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-of-the-lion;10;[2, 3, 4];1;4;120;30.0;14.0;['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers'];['Category: Dungeon Crawler', 'Components: Book as Board', 'Components: Miniatures', 'Components: Multi-Use Cards', 'Components: Standees', 'Digital Implementations: Steam', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Game: Gloomhaven', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Misc: Forteller Audio Narration', 'Misc: Limited Replayability', 'Misc: Watch It Played How To Videos', 'Players: Games with Solitaire Rules'];['Strategy Games', 'Thematic Games'];['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures'];['Isaac Childres'];20;https://cf.geekdo-images.com/_HhIdavYW-hid20Iq3hhmg__original/img/PBzsLRqNKQKJxGnzpb7o3qLWPQM=/0x0/filters:format(jpeg)/pic5055631.jpg;3.6;8.2;2020
162886;Spirit Island;https://boardgamegeek.com/boardgame/162886/spirit-island;11;[2, 3, 4];1;4;120;30.0;13.0;['Action Retrieval', 'Area Majority / Influence', 'Automatic Resource Growth', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Hand Management', 'Modular Board', 'Set Collection', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tags', 'Variable Player Powers', 'Variable Set-up'];['Components: Control Boards', 'Components: Map (Continental / National scale)', 'Components: Miniatures', 'Components: Wooden pieces & boards', 'Crowdfunding: Kickstarter', 'Digital Implementations: Google Play', 'Digital Implementations: Steam', 'Game: Spirit Island', 'Islands: Fictional', 'Misc: LongPack Games', 'Players: Games with Solitaire Rules', 'Theme: Colonial'];['Strategy Games'];['Environmental', 'Fantasy', 'Fighting', 'Mythology', 'Territory Building'];['R. Eric Reuss'];16;https://cf.geekdo-images.com/kjCm4ZvPjIZxS-mYgSPy1g__original/img/9uLd9C3XAvInLCLhAoXqKVk56zs=/0x0/filters:format(jpeg)/pic7013651.jpg;4.1;8.1;2017
220308;Gaia Project;https://boardgamegeek.com/boardgame/220308/gaia-project;12;[2, 3, 4];1;4;150;37.5;12.0;['End Game Bonuses', 'Hexagon Grid', 'Income', 'Modular Board', 'Network and Route Building', 'Solo / Solitaire Game', 'Tags', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource'];['Category: Combinatorial', 'Components: Control Boards', 'Components: Map (Interplanetary or Interstellar scale)', 'Digital Implementations: Board Game Arena', 'Digital Implementations: Steam', 'Mechanism: Tableau Building', 'Misc: Made by Panda', 'Organizations: Automa Factory', 'Players: Games with Solitaire Rules', 'Series: Terra Mystica'];['Strategy Games'];['Civilization', 'Economic', 'Miniatures', 'Science Fiction', 'Space Exploration', 'Territory Building'];['Jens Drögemüller', 'Helge Ostertag'];14;https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__original/img/tjlflQtUPFiTpLpwk1NCVCS29Ic=/0x0/filters:format(png)/pic5375625.png;4.4;8.1;2017
12333;Twilight Struggle;https://boardgamegeek.com/boardgame/12333/twilight-struggle;13;[2];1;2;180;90.0;13.0;['Action/Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Events', 'Hand Management', 'Simulation', 'Simultaneous Action Selection', 'Sudden Death Ending', 'Tug of War', 'Variable Set-up'];['Components: Map (Global Scale)', 'Components: Multi-Use Cards', 'Country: Soviet Union', 'Country: USA', 'Digital Implementations: Google Play', 'Digital Implementations: Steam', 'Game: Twilight Struggle', 'History: Cold War', 'Players: Two-Player Only Games', 'Players: Wargames with Rules Supporting Only Two Players', 'Region: The World', 'Series: Twilight Struggle', 'Theme: Nuclear option'];['Strategy Games', 'Wargames'];['Modern Warfare', 'Political', 'Wargame'];['Ananda Gupta', 'Jason Matthews'];13;https://cf.geekdo-images.com/pNCiUUphnoeWOYfsWq0kng__original/img/Iae47UtAd_RXVd5tJ3YzbDHOv4E=/0x0/filters:format(jpeg)/pic3530661.jpg;3.6;8.1;2005
182028;Through the Ages: A New Story of Civilization;https://boardgamegeek.com/boardgame/182028/through-the-ages-a-new-story-of-civilization;14;[2, 3, 4];2;4;120;30.0;14.0;['Action Points', 'Auction: Dutch', 'Auction/Bidding', 'Events', 'Income', 'Open Drafting', 'Tags', 'Take That'];['Digital Implementations: Board Game Arena', 'Digital Implementations: Google Play', 'Digital Implementations: Steam', 'Game: Through the Ages', 'Historical Figures: Various', 'Mechanism: Tableau Building', 'Theme: Colonial'];['Strategy Games'];['Card Game', 'Civilization', 'Economic'];['Vlaada Chvátil'];3;https://cf.geekdo-images.com/fVwPntkJKgaEo0rIC0RwpA__original/img/1jawNpljTXwnT4km_2CjGwoUPR8=/0x0/filters:format(jpeg)/pic2663291.jpg;4.4;8.1;2015
193738;Great Western Trail;https://boardgamegeek.com/boardgame/193738/great-western-trail;15;[2, 3, 4];2;4;150;37.5;12.0;['Deck, Bag, and Pool Building', 'Hand Management', 'Ownership', 'Set Collection', 'Track Movement', 'Variable Set-up'];['Animals: Cattle / Cows', 'Cities: Kansas City (Missouri, USA)', 'Components: Control Boards', 'Components: Map (Regional scale)', 'Components: Wooden pieces & boards', 'Country: USA', 'Digital Implementations: Board Game Arena', 'Game: Great Western Trail', 'Mechanism: Tableau Building', 'Series: The Great Designers (Stronghold Games)', 'States: Texas'];['Strategy Games'];['American West', 'Animals', 'Economic'];['Alexander Pfister'];31;https://cf.geekdo-images.com/u1l0gH7sb_vnvDvoO_QHqA__original/img/2zv_XMQoPFWk9Dn0oS4JY1IeFzw=/0x0/filters:format(jpeg)/pic4887376.jpg;3.7;8.0;2016
84876;The Castles of Burgundy;https://boardgamegeek.com/boardgame/84876/the-castles-of-burgundy;16;[2, 3, 4];2;4;90;22.5;12.0;['Dice Rolling', 'End Game Bonuses', 'Grid Coverage', 'Hexagon Grid', 'Open Drafting', 'Pattern Building', 'Tile Placement', 'Turn Order: Stat-Based', 'Variable Set-up'];['Country: France', 'Digital Implementations: Board Game Arena', 'Digital Implementations: Boiteajeux', 'Digital Implementations: Steam', 'Digital Implementations: Yucata', 'Game: The Castles of Burgundy', 'Mechanism: Tableau Building', 'Players: Games with expansions that add solo play', 'Region: Burgundy (France)', 'Series: Alea Big Box'];['Strategy Games'];['Dice', 'Medieval', 'Territory Building'];['Stefan Feld'];14;https://cf.geekdo-images.com/5CFwjd8zTcGYVUnkXh04hw__original/img/N8btACZrnEYK1amBNk26VBdcGwc=/0x0/filters:format(jpeg)/pic1176894.jpg;3.0;8.0;2011
169786;Scythe;https://boardgamegeek.com/boardgame/169786/scythe;17;[2, 3, 4];1;5;115;23.0;14.0;['Area Majority / Influence', 'Card Play Conflict Resolution', 'Contracts', 'End Game Bonuses', 'Force Commitment', 'Grid Movement', 'Hexagon Grid', 'King of the Hill', 'Movement Points', 'Solo / Solitaire Game', 'Take That', 'Tech Trees / Tech Tracks', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource', 'Zone of Control'];"['Category: Dized Tutorial', 'Components:  Meeples', 'Components: Control Boards', 'Components: Map (Continental / National scale)', 'Components: Miniatures', 'Components: Wooden pieces & boards', 'Continents: Europe', 'Crowdfunding: Kickstarter', ""Decades: The 1920's"", 'Digital Implementations: Google Play', 'Digital Implementations: Steam', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Digital Implementations: Tabletopia', 'Game: Scythe', 'Mechanism: Tableau Building', 'Misc: Made by Panda', 'Misc: Watch It Played How To Videos', 'Organizations: Automa Factory', 'Players: Games with Solitaire Rules', 'Theme: Alternate History', 'Theme: Dieselpunk', 'Theme: Mech Warfare']";['Strategy Games'];['Economic', 'Fighting', 'Science Fiction', 'Territory Building'];['Jamey Stegmaier'];33;https://cf.geekdo-images.com/7k_nOxpO9OGIjhLq2BUZdA__original/img/HlDb9F365w0tSP8uD1vf1pfniQE=/0x0/filters:format(jpeg)/pic3163924.jpg;3.4;8.0;2016
246900;Eclipse: Second Dawn for the Galaxy;https://boardgamegeek.com/boardgame/246900/eclipse-second-dawn-for-the-galaxy;18;[2, 3, 4];2;6;200;33.33;14.0;['Alliances', 'Area Majority / Influence', 'Area-Impulse', 'Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Income', 'Modular Board', 'Passed Action Token', 'Tech Trees / Tech Tracks', 'Variable Player Powers'];['Components: Control Boards', 'Components: Game Trayz Inside', 'Components: Map (Interplanetary or Interstellar scale)', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Game: Eclipse (Lautapelit.fi)', 'Mechanism: 4X', 'Misc: Made by Panda'];['Strategy Games'];['Civilization', 'Exploration', 'Science Fiction', 'Space Exploration', 'Wargame'];['Touko Tahkokallio'];4;https://cf.geekdo-images.com/Oh3kHw6lweg6ru71Q16h2Q__original/img/yW7d4RNfU1ndISCaPlfGYUyxnRU=/0x0/filters:format(jpeg)/pic5235277.jpg;3.7;8.0;2020
173346;7 Wonders Duel;https://boardgamegeek.com/boardgame/173346/7-wonders-duel;19;[2];2;2;30;15.0;10.0;['End Game Bonuses', 'Income', 'Layering', 'Market', 'Modular Board', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Open Drafting', 'Set Collection', 'Sudden Death Ending', 'Tags', 'Tech Trees / Tech Tracks', 'Tug of War', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource'];['Ancient: Babylon', 'Ancient: Egypt', 'Ancient: Greece', 'Constructions: Pyramids', 'Digital Implementations: Board Game Arena', 'Digital Implementations: Google Play', 'Game: 7 Wonders', 'Game: 7 Wonders Duel', 'Mechanism: Tableau Building', 'Misc: Watch It Played How To Videos', 'Players: Games with expansions that add solo play', 'Players: Two-Player Only Games', 'Versions & Editions: Two-Player Versions of More-Player Games'];['Strategy Games'];['Ancient', 'Card Game', 'City Building', 'Civilization', 'Economic'];['Antoine Bauza', 'Bruno Cathala'];24;https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__original/img/Ju836WNSaW7Mab9Vjq2TJ_FqhWQ=/0x0/filters:format(jpeg)/pic2576399.jpg;2.2;8.0;2015
28720;Brass: Lancashire;https://boardgamegeek.com/boardgame/28720/brass-lancashire;20;[2, 3, 4];2;4;120;30.0;14.0;['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based'];['Cities: Manchester (England, UK)', 'Components: Map (Continental / National scale)', 'Components: Map (Regional scale)', 'Country: England', 'Crowdfunding: Spieleschmiede', 'Digital Implementations: Steam', 'Game: Brass', 'History: Industrial Revolution', 'Misc: LongPack Games', 'Theme: Canals'];['Strategy Games'];['Economic', 'Industry / Manufacturing', 'Post-Napoleonic', 'Transportation'];['Martin Wallace'];7;https://cf.geekdo-images.com/tHVtPzu82mBpeQbbZkV6EA__original/img/3ffdJj5Pz6HQrg09Kh8ecTen-TY=/0x0/filters:format(jpeg)/pic3469216.jpg;3.9;8.0;2007
167355;Nemesis;https://boardgamegeek.com/boardgame/167355/nemesis;21;[2, 3, 4];1;5;180;36.0;12.0;['Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Hidden Roles', 'Interrupts', 'Modular Board', 'Player Elimination', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers'];['Category: Dungeon Crawler', 'Components: Dice with Icons', 'Components: Miniatures', 'Components: Polyhedral (not D6) dice', 'Creatures: Aliens / Extraterrestrials', 'Crowdfunding: Kickstarter', 'Crowdfunding: Modian', 'Game: Nemesis', 'Misc: Eastar Game Manufacturing', 'Players: Games with Solitaire Rules'];['Thematic Games'];['Adventure', 'Horror', 'Miniatures', 'Science Fiction'];['Adam Kwapiński'];11;https://cf.geekdo-images.com/tAqLpWxQ0Oo3GaPP3MER1g__original/img/sA6r1p6BO_Tgyc3-xgIESC9Y-vg=/0x0/filters:format(jpeg)/pic5073276.jpg;3.5;8.0;2018
