id;domain_list
224517;Strategy Games
161936;Strategy Games
161936;Thematic Games
174430;Strategy Games
174430;Thematic Games
342942;Strategy Games
233078;Strategy Games
233078;Thematic Games
167791;Strategy Games
291457;Strategy Games
291457;Thematic Games
316554;Strategy Games
115746;Thematic Games
115746;Wargames
187645;Thematic Games
162886;Strategy Games
220308;Strategy Games
182028;Strategy Games
12333;Strategy Games
12333;Wargames
193738;Strategy Games
169786;Strategy Games
84876;Strategy Games
173346;Strategy Games
167355;Thematic Games
28720;Strategy Games
246900;Strategy Games
124361;Strategy Games
177736;Strategy Games
266507;Thematic Games
266192;Family Games
266192;Strategy Games
120677;Strategy Games
205637;Customizable Games
205637;Thematic Games
237182;Strategy Games
237182;Wargames
312484;Strategy Games
164928;Strategy Games
199792;Family Games
199792;Strategy Games
96848;Strategy Games
96848;Thematic Games
183394;Strategy Games
251247;Strategy Games
341169;Strategy Games
324856;Family Games
324856;Strategy Games
175914;Strategy Games
192135;Strategy Games
192135;Thematic Games
285774;Customizable Games
256960;Strategy Games
3076;Strategy Games
247763;Strategy Games
102794;Strategy Games
170216;Strategy Games
185343;Strategy Games
31260;Strategy Games
295947;Abstract Games
295947;Family Games
184267;Strategy Games
221107;Strategy Games
221107;Thematic Games
314040;Strategy Games
314040;Thematic Games
205059;Thematic Games
276025;Strategy Games
521;Family Games
126163;Strategy Games
255984;Thematic Games
2651;Strategy Games
284378;Strategy Games
161533;Strategy Games
284083;Family Games
216132;Strategy Games
244521;Family Games
35677;Strategy Games
164153;Thematic Games
266810;Strategy Games
209010;Strategy Games
209010;Thematic Games
125153;Strategy Games
55690;Thematic Games
124742;Customizable Games
182874;Strategy Games
230802;Abstract Games
230802;Family Games
72125;Strategy Games
28143;Strategy Games
253344;Thematic Games
191189;Strategy Games
201808;Family Games
201808;Strategy Games
200680;Strategy Games
157354;Strategy Games
25613;Strategy Games
159675;Strategy Games
229853;Strategy Games
110327;Strategy Games
121921;Thematic Games
171623;Strategy Games
62219;Strategy Games
366013;Family Games
68448;Family Games
68448;Strategy Games
317985;Strategy Games
231733;Strategy Games
231733;Thematic Games
180263;Thematic Games
264220;Thematic Games
295770;Strategy Games
236457;Strategy Games
93;Strategy Games
279537;Strategy Games
37111;Thematic Games
122515;Strategy Games
18602;Strategy Games
225694;Party Games
170042;Strategy Games
172386;Strategy Games
155821;Strategy Games
40834;Strategy Games
73439;Strategy Games
42;Strategy Games
203993;Strategy Games
146021;Thematic Games
163068;Strategy Games
269385;Thematic Games
12493;Strategy Games
12493;Thematic Games
144733;Strategy Games
163412;Abstract Games
163412;Family Games
102680;Strategy Games
205896;Strategy Games
218417;Strategy Games
36218;Strategy Games
281259;Family Games
256916;Strategy Games
233371;Strategy Games
175640;Strategy Games
178900;Party Games
172287;Strategy Games
198928;Strategy Games
132531;Strategy Games
196340;Strategy Games
4098;Strategy Games
175155;Strategy Games
43015;Strategy Games
266524;Family Games
263918;Family Games
217372;Family Games
30549;Family Games
30549;Strategy Games
310873;Strategy Games
262712;Strategy Games
274364;Strategy Games
118048;Strategy Games
271055;Strategy Games
127023;Strategy Games
2511;Thematic Games
161970;Strategy Games
147020;Strategy Games
271324;Strategy Games
233398;Strategy Games
308765;Strategy Games
220877;Strategy Games
146652;Thematic Games
254640;Party Games
34635;Family Games
34635;Strategy Games
14996;Family Games
103885;Customizable Games
103885;Wargames
328871;Strategy Games
77423;Customizable Games
148949;Family Games
148949;Strategy Games
233867;Family Games
296151;Strategy Games
283948;Strategy Games
82222;Strategy Games
82222;Thematic Games
244522;Family Games
265188;Strategy Games
463;Customizable Games
189932;Strategy Games
304783;Strategy Games
268864;Wargames
43111;Strategy Games
43111;Thematic Games
54043;Family Games
9609;Thematic Games
9609;Wargames
249259;Abstract Games
329082;Strategy Games
287954;Abstract Games
287954;Family Games
104162;Thematic Games
188920;Thematic Games
10630;Wargames
282524;Family Games
282524;Thematic Games
12;Strategy Games
209418;Strategy Games
39463;Strategy Games
39463;Thematic Games
17133;Strategy Games
128882;Party Games
155426;Strategy Games
199561;Abstract Games
199561;Family Games
294484;Strategy Games
70149;Strategy Games
103343;Strategy Games
31627;Family Games
150376;Thematic Games
25021;Wargames
123260;Strategy Games
14105;Wargames
291453;Family Games
242302;Family Games
227224;Strategy Games
104006;Strategy Games
171131;Party Games
171131;Thematic Games
283355;Strategy Games
283355;Thematic Games
188;Abstract Games
221194;Strategy Games
148228;Family Games
235802;Strategy Games
235802;Thematic Games
21050;Wargames
245638;Strategy Games
283155;Abstract Games
283155;Family Games
182631;Strategy Games
271896;Thematic Games
126042;Strategy Games
195421;Thematic Games
300531;Strategy Games
300531;Thematic Games
215;Strategy Games
822;Family Games
293014;Family Games
293014;Strategy Games
91;Wargames
306735;Strategy Games
118;Strategy Games
7854;Abstract Games
9209;Family Games
314491;Family Games
314491;Strategy Games
54998;Strategy Games
146886;Strategy Games
310100;Thematic Games
285967;Strategy Games
224037;Family Games
224037;Party Games
188834;Party Games
295486;Family Games
295486;Strategy Games
318977;Family Games
129437;Thematic Games
156129;Party Games
176189;Thematic Games
232832;Family Games
232832;Strategy Games
158600;Family Games
269207;Family Games
269207;Strategy Games
223321;Thematic Games
169426;Strategy Games
109276;Strategy Games
227935;Strategy Games
555;Strategy Games
241451;Strategy Games
241451;Thematic Games
239188;Thematic Games
192291;Family Games
199478;Family Games
9216;Strategy Games
274637;Strategy Games
194655;Abstract Games
339789;Family Games
339789;Thematic Games
176494;Family Games
176494;Strategy Games
228341;Strategy Games
19857;Strategy Games
198994;Strategy Games
223040;Family Games
20551;Strategy Games
31481;Thematic Games
421;Strategy Games
146508;Thematic Games
165722;Family Games
165722;Party Games
3;Strategy Games
27708;Strategy Games
128621;Strategy Games
27833;Strategy Games
300322;Strategy Games
364073;Strategy Games
140620;Strategy Games
260605;Family Games
260605;Party Games
286096;Strategy Games
232405;Thematic Games
127060;Strategy Games
155068;Thematic Games
204583;Family Games
224783;Strategy Games
305096;Strategy Games
144344;Strategy Games
277659;Thematic Games
760;Strategy Games
