id;family_list
224517;Cities: Birmingham (England)
224517;Components: Multi-Use Cards
224517;Country: England
224517;Crowdfunding: Kickstarter
224517;Crowdfunding: Spieleschmiede
224517;Digital Implementations: Steam
224517;Digital Implementations: Tabletopia
224517;Food & Drink: Beer
224517;Game: Brass
224517;History: Industrial Revolution
224517;Misc: Watch It Played How To Videos
224517;Organizations: The Game Artisans of Canada
224517;Theme: Canals
161936;Components: Map (Global Scale)
161936;Components: Multi-Use Cards
161936;Game: Pandemic
161936;Mechanism: Campaign Games
161936;Mechanism: Legacy
161936;Medical: Diseases
161936;Misc: Limited Replayability
161936;Misc: Made by Panda
161936;Occupation: Dispatcher
161936;Occupation: Medic / Doctor / Nurses
161936;Occupation: Researcher / Scientist
161936;Region: The World
161936;Theme: Science
161936;Versions & Editions: Legacy Versions of Non-Legacy Games
174430;Category: Dungeon Crawler
174430;Components: Miniatures
174430;Components: Multi-Use Cards
174430;Components: Standees
174430;Creatures: Demons
174430;Creatures: Dragons
174430;Creatures: Monsters
174430;Crowdfunding: Kickstarter
174430;Digital Implementations: Steam
174430;Digital Implementations: TableTop Simulator Mod (TTS)
174430;Game: Gloomhaven
174430;Mechanism: Campaign Games
174430;Mechanism: Legacy
174430;Misc: Forteller Audio Narration
174430;Misc: Made by Panda
174430;Players: Games with Solitaire Rules
342942;Components: Hexagonal Tiles
342942;Digital Implementations: Board Game Arena
342942;Digital Implementations: TableTop Simulator Mod (TTS)
342942;Game: Ark Nova
342942;Players: Games with Solitaire Rules
342942;Theme: Ecology
342942;Theme: Science
342942;Theme: Zoos, Aquaria, Safari Parks
233078;Components: Hexagonal Tiles
233078;Components: Map (Interplanetary or Interstellar scale)
233078;Components: Miniatures
233078;Game: Twilight Imperium
233078;Mechanism: 4X
233078;Misc: Made by Panda
167791;Category: Dized Tutorial
167791;Components: Map (Global Scale)
167791;Components: Multi-Use Cards
167791;Digital Implementations: Google Play
167791;Digital Implementations: Steam
167791;Game: Terraforming Mars
167791;Mechanism: Tableau Building
167791;Players: Games with Solitaire Rules
